rank,tier,name,section,views_3mo,wikipedia_title,flag
1360,C,Donald Sutherland,CLASSIC HOLLYWOOD,483064,Donald Sutherland,
1361,C,Erykah Badu,HIP-HOP & R&B,182838,Erykah Badu,
1362,C,Maya Rudolph,COMEDIANS,369462,Maya Rudolph,
1363,C,Kamala Harris,US PRESIDENTS & POLITICIANS,389283,Kamala Harris,
1364,C,Phil Jackson,BASKETBALL,268598,Phil Jackson,
1365,C,Katherine Johnson,"SCIENTISTS, INVENTORS & THINKERS",174820,Katherine Johnson,
1366,C,Henri Matisse,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",100662,Henri Matisse,
1367,C,Randy Couture,"BOXING, MMA, WRESTLING & STRENGTH",103554,Randy Couture,
1368,C,Michael Hutchence,ROCK & POP LEGENDS,506221,Michael Hutchence,
1369,C,Frederick the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",171193,Frederick the Great,
1370,C,James Gunn,FILM DIRECTORS,446827,James Gunn,
1371,C,Tom Ford,FASHION & MODELS,157182,Tom Ford,
1372,C,Susan B. Anthony,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",85573,Susan B. Anthony,
1373,C,Ennio Morricone,"COMPOSERS, CLASSICAL & STAGE",103042,Ennio Morricone,
1374,C,Andrew Garfield,MODERN ACTORS,1171037,Andrew Garfield,
1375,C,Mark Cuban,TECH & BUSINESS,259709,Mark Cuban,
1376,C,Justin Timberlake,MODERN POP,410140,Justin Timberlake,
1377,C,Brett Favre,AMERICAN FOOTBALL,137832,Brett Favre,
1378,C,Vasco da Gama,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",167316,Vasco da Gama,
1379,C,Shinzo Abe,WORLD LEADERS (HISTORICAL),187481,Shinzo Abe,
1380,C,Ted Williams,BASEBALL & HOCKEY,138201,Ted Williams,
1381,C,Roberto Carlos,SOCCER,421891,Roberto Carlos,
1382,C,Jim Thorpe,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",257790,Jim Thorpe,
1383,C,John Steinbeck,WRITERS & PHILOSOPHERS,268540,John Steinbeck,
1384,C,Dustin Hoffman,CLASSIC HOLLYWOOD,480664,Dustin Hoffman,
1385,C,J. Cole,HIP-HOP & R&B,176467,J. Cole,
1386,C,Norm Macdonald,COMEDIANS,360321,Norm Macdonald,
1387,C,Michelle Obama,US PRESIDENTS & POLITICIANS,342597,Michelle Obama,
1388,C,Gregg Popovich,BASKETBALL,252026,Gregg Popovich,
1389,C,Tim Berners-Lee,"SCIENTISTS, INVENTORS & THINKERS",165662,Tim Berners-Lee,
1390,C,Johannes Vermeer,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",94385,Johannes Vermeer,
1391,C,Chuck Liddell,"BOXING, MMA, WRESTLING & STRENGTH",98714,Chuck Liddell,
1392,C,Eric Clapton,ROCK & POP LEGENDS,498109,Eric Clapton,
1393,C,Tokugawa Ieyasu,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",149479,Tokugawa Ieyasu,
1394,C,Francis Ford Coppola,FILM DIRECTORS,420855,Francis Ford Coppola,
1395,C,Alexander McQueen,FASHION & MODELS,145611,Alexander McQueen,
1396,C,Emmeline Pankhurst,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",58447,Emmeline Pankhurst,
1397,C,Ryuichi Sakamoto,"COMPOSERS, CLASSICAL & STAGE",89827,Ryuichi Sakamoto,
1398,C,Jared Leto,MODERN ACTORS,1160906,Jared Leto,
1399,C,Kevin O'Leary,TECH & BUSINESS,258622,Kevin O'Leary,
1400,C,Lisa from Blackpink,MODERN POP,384422,Lisa (rapper),
1401,C,Saquon Barkley,AMERICAN FOOTBALL,125087,Saquon Barkley,
1402,C,Ernest Shackleton,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",159263,Ernest Shackleton,
1403,C,Augusto Pinochet,WORLD LEADERS (HISTORICAL),184420,Augusto Pinochet,
1404,C,Hank Aaron,BASEBALL & HOCKEY,118756,Hank Aaron,
1405,C,Andrés Iniesta,SOCCER,382046,Andrés Iniesta,
1406,C,Billie Jean King,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",257746,Billie Jean King,
1407,C,Isaac Asimov,WRITERS & PHILOSOPHERS,259831,Isaac Asimov,
1408,C,Grace Kelly,CLASSIC HOLLYWOOD,469807,Grace Kelly,
1409,C,Nelly,HIP-HOP & R&B,172718,Nelly,
1410,C,Chevy Chase,COMEDIANS,345912,Chevy Chase,
1411,C,Hillary Clinton,US PRESIDENTS & POLITICIANS,329695,Hillary Clinton,
1412,C,Steve Nash,BASKETBALL,228876,Steve Nash,
1413,C,Garry Kasparov,"SCIENTISTS, INVENTORS & THINKERS",163055,Garry Kasparov,
1414,C,Wassily Kandinsky,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",74970,Wassily Kandinsky,
1415,C,Amanda Nunes,"BOXING, MMA, WRESTLING & STRENGTH",90523,Amanda Nunes,
1416,C,Avril Lavigne,ROCK & POP LEGENDS,474823,Avril Lavigne,
1417,C,Toyotomi Hideyoshi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",128211,Toyotomi Hideyoshi,
1418,C,Denis Villeneuve,FILM DIRECTORS,390623,Denis Villeneuve,
1419,C,Gianni Versace,FASHION & MODELS,141705,Gianni Versace,
1420,C,Sojourner Truth,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",53965,Sojourner Truth,
1421,C,Igor Stravinsky,"COMPOSERS, CLASSICAL & STAGE",75836,Igor Stravinsky,
1422,C,Ben Affleck,MODERN ACTORS,1064144,Ben Affleck,
