rank,tier,name,section,views_3mo,wikipedia_title,flag
1584,C,Diljit Dosanjh,MODERN POP,294229,Diljit Dosanjh,
1585,C,Andy Reid,AMERICAN FOOTBALL,77970,Andy Reid,
1586,C,Butch Cassidy,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",102571,Butch Cassidy,
1587,C,Megan Rapinoe,SOCCER,198228,Megan Rapinoe,
1588,C,Richard Petty,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",120813,Richard Petty,
1589,C,Immanuel Kant,WRITERS & PHILOSOPHERS,213553,Immanuel Kant,
1590,C,Katharine Hepburn,CLASSIC HOLLYWOOD,397223,Katharine Hepburn,
1591,C,Bernie Mac,COMEDIANS,243857,Bernie Mac,
1592,C,Sue Bird,BASKETBALL,151231,Sue Bird,
1593,C,Mikhail Kalashnikov,"SCIENTISTS, INVENTORS & THINKERS",91506,Mikhail Kalashnikov,
1594,C,Mel B,ROCK & POP LEGENDS,367310,Mel B,
1595,C,Michael Bay,FILM DIRECTORS,202428,Michael Bay,
1596,C,Tobey Maguire,MODERN ACTORS,888365,Tobey Maguire,
1597,C,Adam Smith,TECH & BUSINESS,132195,Adam Smith,
1598,C,Pharrell Williams,MODERN POP,256408,Pharrell Williams,
1599,C,Walter Payton,AMERICAN FOOTBALL,76736,Walter Payton,
1600,C,Ibn Battuta,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",100574,Ibn Battuta,
1601,C,Alex Morgan,SOCCER,188616,Alex Morgan,
1602,C,Katie Ledecky,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",106175,Katie Ledecky,
1603,C,Margaret Atwood,WRITERS & PHILOSOPHERS,212815,Margaret Atwood,
1604,C,Kirk Douglas,CLASSIC HOLLYWOOD,388072,Kirk Douglas,
1605,C,Kate McKinnon,COMEDIANS,226078,Kate McKinnon,
1606,C,Zion Williamson,BASKETBALL,138531,Zion Williamson,
1607,C,Alexander Fleming,"SCIENTISTS, INVENTORS & THINKERS",85440,Alexander Fleming,
1608,C,Jack White,ROCK & POP LEGENDS,362388,Jack White,
1609,C,Oliver Stone,FILM DIRECTORS,183656,Oliver Stone,
1610,C,Jon Hamm,MODERN ACTORS,873527,Jon Hamm,
1611,C,Cornelius Vanderbilt,TECH & BUSINESS,131923,Cornelius Vanderbilt,
1612,C,Lorde,MODERN POP,250749,Lorde,
1613,C,Barry Sanders,AMERICAN FOOTBALL,76557,Barry Sanders,
1614,C,Johnny Appleseed,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",92447,Johnny Appleseed,
1615,C,Mia Hamm,SOCCER,168297,Mia Hamm,
1616,C,Jeff Gordon,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",103925,Jeff Gordon,
1617,C,Rudyard Kipling,WRITERS & PHILOSOPHERS,211488,Rudyard Kipling,
1618,C,Peter O'Toole,CLASSIC HOLLYWOOD,376839,Peter O'Toole,
1619,C,David Spade,COMEDIANS,220001,David Spade,
1620,C,Vince Carter,BASKETBALL,129469,Vince Carter,
1621,C,Johannes Gutenberg,"SCIENTISTS, INVENTORS & THINKERS",84564,Johannes Gutenberg,
1622,C,Chris Martin,ROCK & POP LEGENDS,361148,Chris Martin,
1623,C,John Hughes,FILM DIRECTORS,176928,John Hughes,
1624,C,Chris Pratt,MODERN ACTORS,870694,Chris Pratt,
1625,C,Charlie Munger,TECH & BUSINESS,109155,Charlie Munger,
1626,C,Niall Horan,MODERN POP,247321,Niall Horan,
1627,C,Emiliano Zapata,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",90289,Emiliano Zapata,
1628,C,Arnold Palmer,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",99938,Arnold Palmer,
1629,C,F. Scott Fitzgerald,WRITERS & PHILOSOPHERS,208159,F. Scott Fitzgerald,
1630,C,Gene Hackman,CLASSIC HOLLYWOOD,376213,Gene Hackman,
1631,C,Ray Romano,COMEDIANS,214867,Ray Romano,
1632,C,James Naismith,BASKETBALL,68880,James Naismith,
1633,C,Jonas Salk,"SCIENTISTS, INVENTORS & THINKERS",80601,Jonas Salk,
1634,C,Lionel Richie,ROCK & POP LEGENDS,357056,Lionel Richie,
1635,C,Ang Lee,FILM DIRECTORS,157247,Ang Lee,
1636,C,Jennifer Lawrence,MODERN ACTORS,855103,Jennifer Lawrence,
1637,C,Jack Dorsey,TECH & BUSINESS,108084,Jack Dorsey,
1638,C,Sam Smith,MODERN POP,228018,Sam Smith,
1639,C,David Livingstone,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",87949,David Livingstone,
1640,C,Mo Farah,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",94220,Mo Farah,
1641,C,Haruki Murakami,WRITERS & PHILOSOPHERS,198655,Haruki Murakami,
1642,C,Rita Hayworth,CLASSIC HOLLYWOOD,369474,Rita Hayworth,
1643,C,James Corden,COMEDIANS,211120,James Corden,
1644,C,Mike Krzyzewski,BASKETBALL,38064,Mike Krzyzewski,
1645,C,Vishy Anand,"SCIENTISTS, INVENTORS & THINKERS",78006,Viswanathan Anand,
1646,C,Roy Orbison,ROCK & POP LEGENDS,337095,Roy Orbison,
1647,C,Robert Rodriguez,FILM DIRECTORS,153033,Robert Rodriguez,
1648,C,Matthew McConaughey,MODERN ACTORS,841470,Matthew McConaughey,
1649,C,Jimmy Wales,TECH & BUSINESS,107420,Jimmy Wales,
1650,C,SZA,MODERN POP,222444,SZA,
1651,C,Toussaint Louverture,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",86748,Toussaint Louverture,
1652,C,Don Bradman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",91350,Don Bradman,
1653,C,Arthur Conan Doyle,WRITERS & PHILOSOPHERS,195129,Arthur Conan Doyle,
1654,C,Tommy Lee Jones,CLASSIC HOLLYWOOD,367703,Tommy Lee Jones,
1655,C,Martin Lawrence,COMEDIANS,192091,Martin Lawrence,
1656,C,Grace Hopper,"SCIENTISTS, INVENTORS & THINKERS",69552,Grace Hopper,
1657,C,Barry Gibb,ROCK & POP LEGENDS,331852,Barry Gibb,
1658,C,Bong Joon-ho,FILM DIRECTORS,152365,Bong Joon Ho,
1659,C,Zoë Kravitz,MODERN ACTORS,829002,Zoë Kravitz,
1660,C,Gary Vaynerchuk,TECH & BUSINESS,77374,Gary Vaynerchuk,
1661,C,Adam Levine,MODERN POP,211986,Adam Levine,
1662,C,Roald Amundsen,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",73967,Roald Amundsen,
1663,C,Lindsey Vonn,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",89152,Lindsey Vonn,
1664,C,Maya Angelou,WRITERS & PHILOSOPHERS,194037,Maya Angelou,
1665,C,Clark Gable,CLASSIC HOLLYWOOD,341625,Clark Gable,
1666,C,Gilda Radner,COMEDIANS,189955,Gilda Radner,
1667,C,Johannes Kepler,"SCIENTISTS, INVENTORS & THINKERS",65499,Johannes Kepler,
1668,C,Joni Mitchell,ROCK & POP LEGENDS,308300,Joni Mitchell,
1669,C,Kathryn Bigelow,FILM DIRECTORS,149509,Kathryn Bigelow,
1670,C,Chiwetel Ejiofor,MODERN ACTORS,797316,Chiwetel Ejiofor,
1671,C,Jim Cramer,TECH & BUSINESS,50893,Jim Cramer,
1672,C,Jimin,MODERN POP,209359,Jimin,
1673,C,Zheng He,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",69441,Zheng He,
1674,C,Greg Norman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",85591,Greg Norman,
1675,C,Voltaire,WRITERS & PHILOSOPHERS,193175,Voltaire,
1676,C,Richard Burton,CLASSIC HOLLYWOOD,340489,Richard Burton,
1677,C,Bill Burr,COMEDIANS,178240,Bill Burr,
1678,C,Rachel Carson,"SCIENTISTS, INVENTORS & THINKERS",48305,Rachel Carson,
1679,C,Patti Smith,ROCK & POP LEGENDS,304721,Patti Smith,
1680,C,Edgar Wright,FILM DIRECTORS,149416,Edgar Wright,
1681,C,Jake Gyllenhaal,MODERN ACTORS,793551,Jake Gyllenhaal,
1682,C,Vitalik Buterin,TECH & BUSINESS,49724,Vitalik Buterin,
1683,C,Karol G,MODERN POP,206902,Karol G,
1684,C,Betsy Ross,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",63853,Betsy Ross,
1685,C,Gary Player,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",82967,Gary Player,
1686,C,Victor Hugo,WRITERS & PHILOSOPHERS,184841,Victor Hugo,
1687,C,Danny Glover,CLASSIC HOLLYWOOD,338404,Danny Glover,
1688,C,Alfonso Ribeiro,COMEDIANS,136392,Alfonso Ribeiro,
1689,C,Ivan Pavlov,"SCIENTISTS, INVENTORS & THINKERS",38929,Ivan Pavlov,
1690,C,Cat Stevens,ROCK & POP LEGENDS,303207,Cat Stevens,
1691,C,Ingmar Bergman,FILM DIRECTORS,145149,Ingmar Bergman,
1692,C,Jennifer Aniston,MODERN ACTORS,791890,Jennifer Aniston,
1693,C,Iggy Azalea,MODERN POP,200782,Iggy Azalea,
1694,C,Thor Heyerdahl,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",45808,Thor Heyerdahl,
1695,C,Kapil Dev,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",81973,Kapil Dev,
1696,C,William Faulkner,WRITERS & PHILOSOPHERS,182894,William Faulkner,
1697,C,Sophia Loren,CLASSIC HOLLYWOOD,328957,Sophia Loren,
1698,C,David Byrne,ROCK & POP LEGENDS,303148,David Byrne,
1699,C,Park Chan-wook,FILM DIRECTORS,140464,Park Chan-wook,
1700,C,Emma Stone,MODERN ACTORS,791314,Emma Stone,
1701,C,Sean Paul,MODERN POP,145186,Sean Paul,
1702,C,Yuzuru Hanyu,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",78206,Yuzuru Hanyu,
1703,C,Hans Christian Andersen,WRITERS & PHILOSOPHERS,177921,Hans Christian Andersen,
1704,C,Lauren Bacall,CLASSIC HOLLYWOOD,327676,Lauren Bacall,
1705,C,Bryan Adams,ROCK & POP LEGENDS,291439,Bryan Adams,
1706,C,Sergio Leone,FILM DIRECTORS,115358,Sergio Leone,
1707,C,Stanley Tucci,MODERN ACTORS,784027,Stanley Tucci,
1708,C,Gloria Estefan,MODERN POP,142314,Gloria Estefan,
1709,C,Carl Lewis,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",75455,Carl Lewis,
1710,C,H. G. Wells,WRITERS & PHILOSOPHERS,176959,H. G. Wells,
1711,C,Ingrid Bergman,CLASSIC HOLLYWOOD,309024,Ingrid Bergman,
1712,C,Joan Baez,ROCK & POP LEGENDS,287727,Joan Baez,
1713,C,Todd Phillips,FILM DIRECTORS,104261,Todd Phillips,
1714,C,Natalie Portman,MODERN ACTORS,772884,Natalie Portman,
1715,C,Shaggy,MODERN POP,140199,Shaggy (musician),
1716,C,Eliud Kipchoge,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",66669,Eliud Kipchoge,
1717,C,J. D. Salinger,WRITERS & PHILOSOPHERS,176754,J. D. Salinger,
1718,C,Roger Moore,CLASSIC HOLLYWOOD,297687,Roger Moore,
1719,C,Peter Gabriel,ROCK & POP LEGENDS,278260,Peter Gabriel,
1720,C,Pedro Almodóvar,FILM DIRECTORS,103282,Pedro Almodóvar,
1721,C,Julia Roberts,MODERN ACTORS,772784,Julia Roberts,
1722,C,Lata Mangeshkar,MODERN POP,107255,Lata Mangeshkar,
1723,C,Kelly Slater,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",65657,Kelly Slater,
1724,C,Emily Brontë,WRITERS & PHILOSOPHERS,176121,Emily Brontë,
1725,C,Vivien Leigh,CLASSIC HOLLYWOOD,296955,Vivien Leigh,
1726,C,Leonard Cohen,ROCK & POP LEGENDS,265485,Leonard Cohen,
1727,C,John Woo,FILM DIRECTORS,99944,John Woo,
1728,C,Kirsten Dunst,MODERN ACTORS,771651,Kirsten Dunst,
1729,C,Luis Miguel,MODERN POP,83937,Luis Miguel,
1730,C,Michelle Kwan,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",52892,Michelle Kwan,
1731,C,Arthur C. Clarke,WRITERS & PHILOSOPHERS,175814,Arthur C. Clarke,
1732,C,Bette Davis,CLASSIC HOLLYWOOD,283375,Bette Davis,
1733,C,Van Morrison,ROCK & POP LEGENDS,240533,Van Morrison,
1734,C,George A. Romero,FILM DIRECTORS,92745,George A. Romero,
1735,C,Bradley Cooper,MODERN ACTORS,757848,Bradley Cooper,
1736,C,Jay Chou,MODERN POP,72361,Jay Chou,
1737,C,Cathy Freeman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",50275,Cathy Freeman,
1738,C,Toni Morrison,WRITERS & PHILOSOPHERS,172722,Toni Morrison,
1739,C,Raquel Welch,CLASSIC HOLLYWOOD,271824,Raquel Welch,
1740,C,John Mayer,ROCK & POP LEGENDS,237865,John Mayer,
1741,C,Federico Fellini,FILM DIRECTORS,91402,Federico Fellini,
1742,C,Alan Cumming,MODERN ACTORS,729569,Alan Cumming,
1743,C,Juan Gabriel,MODERN POP,70819,Juan Gabriel,
1744,C,Mary Kom,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",45729,Mary Kom,
1745,C,Lewis Carroll,WRITERS & PHILOSOPHERS,167084,Lewis Carroll,
1746,C,Eugene Levy,CLASSIC HOLLYWOOD,265059,Eugene Levy,
1747,C,Keith Moon,ROCK & POP LEGENDS,230966,Keith Moon,
1748,C,Cecil B. DeMille,FILM DIRECTORS,83660,Cecil B. DeMille,
1749,C,Josh Brolin,MODERN ACTORS,728916,Josh Brolin,
1750,C,Maluma,MODERN POP,66574,Maluma,
1751,C,Ian Thorpe,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",42991,Ian Thorpe,
1752,C,Jean-Paul Sartre,WRITERS & PHILOSOPHERS,166221,Jean-Paul Sartre,
1753,C,Doris Day,CLASSIC HOLLYWOOD,259600,Doris Day,
1754,C,Serj Tankian,ROCK & POP LEGENDS,223675,Serj Tankian,
1755,C,Zhang Yimou,FILM DIRECTORS,47180,Zhang Yimou,
1756,C,Alexander Skarsgård,MODERN ACTORS,728860,Alexander Skarsgård,
1757,C,Celia Cruz,MODERN POP,62827,Celia Cruz,
1758,C,Mark Spitz,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",42728,Mark Spitz,
1759,C,Jack Kerouac,WRITERS & PHILOSOPHERS,165275,Jack Kerouac,
1760,C,Joan Crawford,CLASSIC HOLLYWOOD,257285,Joan Crawford,
1761,C,Donna Summer,ROCK & POP LEGENDS,222780,Donna Summer,
1762,C,Mark Wahlberg,MODERN ACTORS,728605,Mark Wahlberg,
1763,C,J Balvin,MODERN POP,61598,J Balvin,
1764,C,Kim Yuna,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",35884,Yuna Kim,
1765,C,Johann Wolfgang von Goethe,WRITERS & PHILOSOPHERS,165022,Johann Wolfgang von Goethe,
1766,C,Sidney Poitier,CLASSIC HOLLYWOOD,249966,Sidney Poitier,
1767,C,Ian Curtis,ROCK & POP LEGENDS,212908,Ian Curtis,
1768,C,Sally Field,MODERN ACTORS,727301,Sally Field,
1769,C,Peso Pluma,MODERN POP,56777,Peso Pluma,
1770,C,Apolo Ohno,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",20599,Apolo Ohno,
1771,C,Ray Bradbury,WRITERS & PHILOSOPHERS,160025,Ray Bradbury,
1772,C,Bette Midler,CLASSIC HOLLYWOOD,248668,Bette Midler,
1773,C,Brian Eno,ROCK & POP LEGENDS,205430,Brian Eno,
1774,C,Aamir Khan,MODERN ACTORS,726846,Aamir Khan,
1775,C,Vicente Fernández,MODERN POP,53632,Vicente Fernández,
1776,C,Jules Verne,WRITERS & PHILOSOPHERS,158490,Jules Verne,
1777,C,Andy Griffith,CLASSIC HOLLYWOOD,239960,Andy Griffith,
1778,C,Tony Bennett,ROCK & POP LEGENDS,194796,Tony Bennett,
1779,C,Megan Fox,MODERN ACTORS,716593,Megan Fox,
1780,C,Umm Kulthum,MODERN POP,53432,Umm Kulthum,
1781,C,Aldous Huxley,WRITERS & PHILOSOPHERS,153036,Aldous Huxley,
1782,C,Mary Tyler Moore,CLASSIC HOLLYWOOD,239852,Mary Tyler Moore,
1783,C,Bing Crosby,ROCK & POP LEGENDS,193204,Bing Crosby,
1784,C,Blake Lively,MODERN ACTORS,706015,Blake Lively,
1785,C,Teresa Teng,MODERN POP,53098,Teresa Teng,
1786,C,Gabriel García Márquez,WRITERS & PHILOSOPHERS,152146,Gabriel García Márquez,
1787,C,Brigitte Bardot,CLASSIC HOLLYWOOD,219726,Brigitte Bardot,
1788,C,Florence Welch,ROCK & POP LEGENDS,187394,Florence Welch,
1789,C,Reese Witherspoon,MODERN ACTORS,700016,Reese Witherspoon,
1790,C,Wizkid,MODERN POP,51292,Wizkid,
1791,C,Shel Silverstein,WRITERS & PHILOSOPHERS,149836,Shel Silverstein,
1792,C,Alec Guinness,CLASSIC HOLLYWOOD,214655,Alec Guinness,
1793,C,Beck,ROCK & POP LEGENDS,186469,Beck,
1794,C,Cameron Diaz,MODERN ACTORS,695652,Cameron Diaz,
1795,C,Charlotte Brontë,WRITERS & PHILOSOPHERS,146830,Charlotte Brontë,
1796,C,Gene Kelly,CLASSIC HOLLYWOOD,213540,Gene Kelly,
1797,C,Michael Bublé,ROCK & POP LEGENDS,177807,Michael Bublé,
1798,C,Alfred Molina,MODERN ACTORS,687514,Alfred Molina,
1799,C,Frank Herbert,WRITERS & PHILOSOPHERS,145521,Frank Herbert,
1800,C,Max von Sydow,CLASSIC HOLLYWOOD,167644,Max von Sydow,
1801,C,Thom Yorke,ROCK & POP LEGENDS,170866,Thom Yorke,
1802,C,Philip Seymour Hoffman,MODERN ACTORS,687095,Philip Seymour Hoffman,
1803,C,Walt Whitman,WRITERS & PHILOSOPHERS,144700,Walt Whitman,
1804,C,Marlene Dietrich,CLASSIC HOLLYWOOD,166804,Marlene Dietrich,
1805,C,Maynard James Keenan,ROCK & POP LEGENDS,168879,Maynard James Keenan,
1806,C,Priyanka Chopra,MODERN ACTORS,683694,Priyanka Chopra,
1807,C,William Blake,WRITERS & PHILOSOPHERS,144432,William Blake,
1808,C,Ginger Rogers,CLASSIC HOLLYWOOD,161648,Ginger Rogers,
1809,C,Otis Redding,ROCK & POP LEGENDS,166580,Otis Redding,
1810,C,Hailee Steinfeld,MODERN ACTORS,682489,Hailee Steinfeld,
1811,C,Robert Louis Stevenson,WRITERS & PHILOSOPHERS,142985,Robert Louis Stevenson,
1812,C,Greta Garbo,CLASSIC HOLLYWOOD,153256,Greta Garbo,
1813,C,Billie Holiday,ROCK & POP LEGENDS,164740,Billie Holiday,
1814,C,Emma Thompson,MODERN ACTORS,677679,Emma Thompson,
1815,C,Harper Lee,WRITERS & PHILOSOPHERS,141988,Harper Lee,
1816,C,Billy Dee Williams,CLASSIC HOLLYWOOD,133806,Billy Dee Williams,
1817,C,Michael Stipe,ROCK & POP LEGENDS,164339,Michael Stipe,
1818,C,Kristen Stewart,MODERN ACTORS,673453,Kristen Stewart,
1819,C,Douglas Adams,WRITERS & PHILOSOPHERS,133027,Douglas Adams,
1820,C,Dave Matthews,ROCK & POP LEGENDS,162137,Dave Matthews,
1821,C,Mark Ruffalo,MODERN ACTORS,668037,Mark Ruffalo,
1822,C,Jorge Luis Borges,WRITERS & PHILOSOPHERS,130718,Jorge Luis Borges,
1823,C,Jonathan Davis,ROCK & POP LEGENDS,158625,Jonathan Davis,
1824,C,Liam Neeson,MODERN ACTORS,667076,Liam Neeson,
1825,C,Beatrix Potter,WRITERS & PHILOSOPHERS,128981,Beatrix Potter,
1826,C,Smokey Robinson,ROCK & POP LEGENDS,157236,Smokey Robinson,
1827,C,Emilia Clarke,MODERN ACTORS,667020,Emilia Clarke,
1828,C,Emily Dickinson,WRITERS & PHILOSOPHERS,128557,Emily Dickinson,
1829,C,Nat King Cole,ROCK & POP LEGENDS,144638,Nat King Cole,
1830,C,Christian Bale,MODERN ACTORS,665300,Christian Bale,
1831,C,Herman Melville,WRITERS & PHILOSOPHERS,126224,Herman Melville,
1832,C,John Coltrane,ROCK & POP LEGENDS,143638,John Coltrane,
1833,C,Demi Moore,MODERN ACTORS,663025,Demi Moore,
1834,C,Alan Moore,WRITERS & PHILOSOPHERS,125344,Alan Moore,
1835,C,Rivers Cuomo,ROCK & POP LEGENDS,138062,Rivers Cuomo,
1836,C,Vanessa Kirby,MODERN ACTORS,657911,Vanessa Kirby,
1837,C,Alexander Pushkin,WRITERS & PHILOSOPHERS,123648,Alexander Pushkin,
1838,C,Roger Daltrey,ROCK & POP LEGENDS,132582,Roger Daltrey,
1839,C,Ralph Fiennes,MODERN ACTORS,656646,Ralph Fiennes,
1840,C,Bram Stoker,WRITERS & PHILOSOPHERS,123482,Bram Stoker,
1841,C,Simon Le Bon,ROCK & POP LEGENDS,131645,Simon Le Bon,
1842,C,Diane Keaton,MODERN ACTORS,651368,Diane Keaton,
1843,C,Frank Miller,WRITERS & PHILOSOPHERS,112082,Frank Miller,
1844,C,Dave Gahan,ROCK & POP LEGENDS,125585,Dave Gahan,
1845,C,John Travolta,MODERN ACTORS,648664,John Travolta,
1846,C,Miguel de Cervantes,WRITERS & PHILOSOPHERS,103135,Miguel de Cervantes,
1847,C,Herbie Hancock,ROCK & POP LEGENDS,116214,Herbie Hancock,
1848,C,Emma Watson,MODERN ACTORS,643581,Emma Watson,
1849,C,Charles Schulz,WRITERS & PHILOSOPHERS,89272,Charles M. Schulz,
1850,C,The Edge,ROCK & POP LEGENDS,95113,The Edge,
1851,C,Colin Farrell,MODERN ACTORS,641108,Colin Farrell,
1852,C,Malcolm Gladwell,WRITERS & PHILOSOPHERS,82957,Malcolm Gladwell,
1853,C,Duke Ellington,ROCK & POP LEGENDS,91048,Duke Ellington,
1854,C,Chris Evans,MODERN ACTORS,634115,Chris Evans (actor),
1855,C,Pablo Neruda,WRITERS & PHILOSOPHERS,68386,Pablo Neruda,
1856,C,Charlie Parker,ROCK & POP LEGENDS,90232,Charlie Parker,
1857,C,Cillian Murphy,MODERN ACTORS,630754,Cillian Murphy,
1858,C,Maurice Sendak,WRITERS & PHILOSOPHERS,42195,Maurice Sendak,
1859,C,Thelonious Monk,ROCK & POP LEGENDS,76497,Thelonious Monk,
1860,C,Michelle Pfeiffer,MODERN ACTORS,625376,Michelle Pfeiffer,
1861,C,Miriam Makeba,ROCK & POP LEGENDS,49243,Miriam Makeba,
1862,C,Michael Fassbender,MODERN ACTORS,621989,Michael Fassbender,
1863,C,Elizabeth Olsen,MODERN ACTORS,618191,Elizabeth Olsen,
1864,C,Michael B. Jordan,MODERN ACTORS,609589,Michael B. Jordan,
1865,C,Sofía Vergara,MODERN ACTORS,609224,Sofía Vergara,
1866,C,Barbra Streisand,MODERN ACTORS,607772,Barbra Streisand,
1867,C,George Clooney,MODERN ACTORS,605727,George Clooney,
1868,C,Chadwick Boseman,MODERN ACTORS,602964,Chadwick Boseman,
1869,C,Ewan McGregor,MODERN ACTORS,600723,Ewan McGregor,
1870,C,Salma Hayek,MODERN ACTORS,595614,Salma Hayek,
1871,C,Orlando Bloom,MODERN ACTORS,594117,Orlando Bloom,
1872,C,Joaquin Phoenix,MODERN ACTORS,582201,Joaquin Phoenix,
1873,C,Jodie Foster,MODERN ACTORS,575319,Jodie Foster,
1874,C,Nathan Fillion,MODERN ACTORS,574328,Nathan Fillion,
1875,C,Tom Hiddleston,MODERN ACTORS,567278,Tom Hiddleston,
1876,C,J. K. Simmons,MODERN ACTORS,565378,J. K. Simmons,
1877,C,Goldie Hawn,MODERN ACTORS,555523,Goldie Hawn,
1878,C,Rami Malek,MODERN ACTORS,554636,Rami Malek,
1879,C,Margot Robbie,MODERN ACTORS,551047,Margot Robbie,
1880,C,Jamie Lee Curtis,MODERN ACTORS,550282,Jamie Lee Curtis,
1881,C,Woody Harrelson,MODERN ACTORS,541961,Woody Harrelson,
1882,C,Kit Harington,MODERN ACTORS,540837,Kit Harington,
1883,C,Katie Holmes,MODERN ACTORS,535995,Katie Holmes,
1884,C,Susan Sarandon,MODERN ACTORS,534316,Susan Sarandon,
1885,C,Matthew Perry,MODERN ACTORS,533060,Matthew Perry,
1886,C,Drew Barrymore,MODERN ACTORS,519075,Drew Barrymore,
1887,C,Helen Mirren,MODERN ACTORS,518677,Helen Mirren,
1888,C,Viggo Mortensen,MODERN ACTORS,517216,Viggo Mortensen,
1889,C,Mila Kunis,MODERN ACTORS,513120,Mila Kunis,
1890,C,Halle Berry,MODERN ACTORS,506489,Halle Berry,
1891,C,Ray Liotta,MODERN ACTORS,504291,Ray Liotta,
1892,C,Keira Knightley,MODERN ACTORS,501662,Keira Knightley,
1893,C,Daniel Day-Lewis,MODERN ACTORS,496338,Daniel Day-Lewis,
1894,C,Russell Crowe,MODERN ACTORS,495794,Russell Crowe,
1895,C,Sean Bean,MODERN ACTORS,489311,Sean Bean,
1896,C,Winona Ryder,MODERN ACTORS,483370,Winona Ryder,
1897,C,Salman Khan,MODERN ACTORS,482520,Salman Khan,acquitted hit-and-run/poaching cases
1898,C,Monica Bellucci,MODERN ACTORS,481457,Monica Bellucci,
1899,C,Sharon Stone,MODERN ACTORS,476052,Sharon Stone,
1900,C,Oscar Isaac,MODERN ACTORS,474375,Oscar Isaac,
1901,C,Kate Winslet,MODERN ACTORS,473735,Kate Winslet,
1902,C,Gal Gadot,MODERN ACTORS,472919,Gal Gadot,mild Israel flashpoint; kept as actress
1903,C,Sarah Jessica Parker,MODERN ACTORS,469350,Sarah Jessica Parker,
1904,C,Sebastian Stan,MODERN ACTORS,462486,Sebastian Stan,
1905,C,Nicholas Hoult,MODERN ACTORS,459291,Nicholas Hoult,
1906,C,Ethan Hawke,MODERN ACTORS,452486,Ethan Hawke,
1907,C,Aaron Paul,MODERN ACTORS,433345,Aaron Paul,
1908,C,Paul Rudd,MODERN ACTORS,431804,Paul Rudd,
1909,C,Brie Larson,MODERN ACTORS,431706,Brie Larson,
1910,C,Karen Gillan,MODERN ACTORS,428408,Karen Gillan,
1911,C,Hugh Grant,MODERN ACTORS,422699,Hugh Grant,
1912,C,Akshay Kumar,MODERN ACTORS,422277,Akshay Kumar,
1913,C,Ben Kingsley,MODERN ACTORS,421746,Ben Kingsley,
1914,C,Cate Blanchett,MODERN ACTORS,419694,Cate Blanchett,
1915,C,David Harbour,MODERN ACTORS,419387,David Harbour,
1916,C,Gerard Butler,MODERN ACTORS,417511,Gerard Butler,
1917,C,Paul Bettany,MODERN ACTORS,412758,Paul Bettany,
1918,C,Hugo Weaving,MODERN ACTORS,411375,Hugo Weaving,
1919,C,Antonio Banderas,MODERN ACTORS,409832,Antonio Banderas,
1920,C,Donald Glover,MODERN ACTORS,408917,Donald Glover,
1921,C,James McAvoy,MODERN ACTORS,408305,James McAvoy,
1922,C,Bob Odenkirk,MODERN ACTORS,403807,Bob Odenkirk,
1923,C,Alia Bhatt,MODERN ACTORS,402970,Alia Bhatt,
1924,C,Joseph Gordon-Levitt,MODERN ACTORS,400524,Joseph Gordon-Levitt,
1925,C,David Corenswet,MODERN ACTORS,395030,David Corenswet,
1926,C,Meg Ryan,MODERN ACTORS,386044,Meg Ryan,
1927,C,Viola Davis,MODERN ACTORS,385894,Viola Davis,
1928,C,Kat Dennings,MODERN ACTORS,380729,Kat Dennings,
1929,C,Judi Dench,MODERN ACTORS,380526,Judi Dench,
1930,C,Jesse Eisenberg,MODERN ACTORS,379793,Jesse Eisenberg,
