rank,name,section,views_3mo,wikipedia_title,flag
1012,Mustafa Suleyman,AI & MACHINE LEARNING,56958,Mustafa Suleyman,
1013,Brunhilde,FICTIONAL & FOLKLORE (public domain only) / Myth,33910,Brunhild,
1014,Don Juan,FICTIONAL & FOLKLORE (public domain only) / Literature,53932,Don Juan,
1015,Pythagoras,ANCIENT & CLASSICAL,121932,Pythagoras,
1016,Suleiman the Magnificent,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",219567,Suleiman the Magnificent,
1017,Jacques Cousteau,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",107550,Jacques Cousteau,
1018,Hillary Clinton,US PRESIDENTS & POLITICIANS,329695,Hillary Clinton,
1019,Shinzo Abe,WORLD LEADERS (HISTORICAL),187481,Shinzo Abe,
1020,Garry Kasparov,"SCIENTISTS, INVENTORS & THINKERS",163055,Garry Kasparov,
1021,Ted Turner,TECH & BUSINESS,217660,Ted Turner,
1022,Sandro Botticelli,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",58025,Sandro Botticelli,
1023,Dr. Seuss,WRITERS & PHILOSOPHERS,238152,Dr. Seuss,
1024,Giuseppe Verdi,"COMPOSERS, CLASSICAL & STAGE",57718,Giuseppe Verdi,
1025,Hayao Miyazaki,FILM DIRECTORS,283628,Hayao Miyazaki,
1026,Anthony Hopkins,CLASSIC HOLLYWOOD,499474,Anthony Hopkins,
1027,Ryan Reynolds,MODERN ACTORS,987154,Ryan Reynolds,
1028,Amy Poehler,COMEDIANS,370112,Amy Poehler,
1029,Richard Simmons,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",189895,Richard Simmons,
1030,Kurt Cobain,ROCK & POP LEGENDS,556108,Kurt Cobain,
1031,Lisa from Blackpink,MODERN POP,384422,Lisa (rapper),
1032,Ludacris,HIP-HOP & R&B,196976,Ludacris,
1033,Nikola Jokić,BASKETBALL,235374,Nikola Jokić,
1034,Emmitt Smith,AMERICAN FOOTBALL,112762,Emmitt Smith,
1035,Andrés Iniesta,SOCCER,382046,Andrés Iniesta,
1036,Hafthor Björnsson,"BOXING, MMA, WRESTLING & STRENGTH",214495,Hafþór Júlíus Björnsson,
1037,MS Dhoni,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",256655,MS Dhoni,
1038,Guido van Rossum,AI & MACHINE LEARNING,54259,Guido van Rossum,
1039,Peter Pan,FICTIONAL & FOLKLORE (public domain only) / Literature,53069,Peter Pan,
1040,Nefertiti,ANCIENT & CLASSICAL,121557,Nefertiti,
1041,Robespierre,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",217936,Maximilien Robespierre,
1042,Walter Raleigh,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",104956,Walter Raleigh,
1043,Douglas MacArthur,US PRESIDENTS & POLITICIANS,319685,Douglas MacArthur,
1044,Augusto Pinochet,WORLD LEADERS (HISTORICAL),184420,Augusto Pinochet,
1045,John von Neumann,"SCIENTISTS, INVENTORS & THINKERS",159476,John von Neumann,
1046,Andrew Carnegie,TECH & BUSINESS,164948,Andrew Carnegie,
1047,Auguste Rodin,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",54095,Auguste Rodin,
1048,Leo Tolstoy,WRITERS & PHILOSOPHERS,232506,Leo Tolstoy,
1049,Lang Lang,"COMPOSERS, CLASSICAL & STAGE",54023,Lang Lang,
1050,Werner Herzog,FILM DIRECTORS,275074,Werner Herzog,
1051,Burt Reynolds,CLASSIC HOLLYWOOD,494689,Burt Reynolds,
1052,Tom Hanks,MODERN ACTORS,966739,Tom Hanks,
1053,Maya Rudolph,COMEDIANS,369462,Maya Rudolph,
1054,Barbara Walters,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",189542,Barbara Walters,
1055,Quincy Jones,ROCK & POP LEGENDS,545077,Quincy Jones,
1056,Rosalía,MODERN POP,368997,Rosalía,
1057,Coolio,HIP-HOP & R&B,194894,Coolio,
1058,Steve Nash,BASKETBALL,228876,Steve Nash,
1059,Troy Aikman,AMERICAN FOOTBALL,107896,Troy Aikman,
1060,Franz Beckenbauer,SOCCER,364246,Franz Beckenbauer,
1061,Triple H,"BOXING, MMA, WRESTLING & STRENGTH",208570,Triple H,
1062,Michael Phelps,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",254246,Michael Phelps,
1063,Paul Graham,AI & MACHINE LEARNING,50942,Paul Graham (programmer),
1064,Captain Nemo,FICTIONAL & FOLKLORE (public domain only) / Literature,49575,Captain Nemo,
1065,Sun Tzu,ANCIENT & CLASSICAL,96490,Sun Tzu,
1066,Peter the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",208980,Peter the Great,
1067,Santa Anna,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",103276,Antonio López de Santa Anna,
1068,Dick Cheney,US PRESIDENTS & POLITICIANS,282600,Dick Cheney,
1069,Rob Ford,WORLD LEADERS (HISTORICAL),174191,Rob Ford,
1070,René Descartes,"SCIENTISTS, INVENTORS & THINKERS",158872,René Descartes,
1071,Satya Nadella,TECH & BUSINESS,163902,Satya Nadella,
1072,Ai Weiwei,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",53474,Ai Weiwei,
1073,James Baldwin,WRITERS & PHILOSOPHERS,226231,James Baldwin,
1074,Peter Jackson,FILM DIRECTORS,264228,Peter Jackson,
1075,Tom Selleck,CLASSIC HOLLYWOOD,489453,Tom Selleck,
1076,Nicole Kidman,MODERN ACTORS,963331,Nicole Kidman,
1077,Kevin James,COMEDIANS,360796,Kevin James,
1078,Jay Leno,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",187568,Jay Leno,
1079,Tina Turner,ROCK & POP LEGENDS,543297,Tina Turner,
1080,Zayn Malik,MODERN POP,362443,Zayn Malik,
1081,Vanilla Ice,HIP-HOP & R&B,194609,Vanilla Ice,
1082,Pat Riley,BASKETBALL,224184,Pat Riley,
1083,John Madden,AMERICAN FOOTBALL,106367,John Madden,
1084,Alex Ferguson,SOCCER,363420,Alex Ferguson,
1085,Ronnie Coleman,"BOXING, MMA, WRESTLING & STRENGTH",203365,Ronnie Coleman,
1086,Simone Biles,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",216643,Simone Biles,
1087,Nick Bostrom,AI & MACHINE LEARNING,48031,Nick Bostrom,
1088,Cyrano de Bergerac,FICTIONAL & FOLKLORE (public domain only) / Literature,49574,Cyrano de Bergerac,
1089,Laozi,ANCIENT & CLASSICAL,88023,Laozi,
1090,Ragnar Lothbrok,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",204617,Ragnar Lodbrok,
1091,Butch Cassidy,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",102571,Butch Cassidy,
1092,Eleanor Roosevelt,US PRESIDENTS & POLITICIANS,277991,Eleanor Roosevelt,
1093,Angela Merkel,WORLD LEADERS (HISTORICAL),163061,Angela Merkel,
1094,Nicolaus Copernicus,"SCIENTISTS, INVENTORS & THINKERS",140027,Nicolaus Copernicus,
1095,Tony Robbins,TECH & BUSINESS,163113,Tony Robbins,
1096,Roy Lichtenstein,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",49693,Roy Lichtenstein,
1097,Lord Byron,WRITERS & PHILOSOPHERS,225125,Lord Byron,
1098,Guillermo del Toro,FILM DIRECTORS,258560,Guillermo del Toro,
1099,Christopher Lee,CLASSIC HOLLYWOOD,483839,Christopher Lee,
1100,Marisa Tomei,MODERN ACTORS,948881,Marisa Tomei,
1101,Norm Macdonald,COMEDIANS,360321,Norm Macdonald,
1102,Jerry Springer,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",168836,Jerry Springer,
1103,Bruce Springsteen,ROCK & POP LEGENDS,531213,Bruce Springsteen,
1104,Christina Aguilera,MODERN POP,346588,Christina Aguilera,
1105,Kid Rock,HIP-HOP & R&B,189235,Kid Rock,
1106,Bill Russell,BASKETBALL,220476,Bill Russell,
1107,John Elway,AMERICAN FOOTBALL,94655,John Elway,
1108,Roberto Baggio,SOCCER,344683,Roberto Baggio,
1109,Ronda Rousey,"BOXING, MMA, WRESTLING & STRENGTH",202925,Ronda Rousey,
1110,Tony Hawk,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",215380,Tony Hawk,
1111,John McCarthy,AI & MACHINE LEARNING,47354,John McCarthy (computer scientist),
1112,Victor Frankenstein,FICTIONAL & FOLKLORE (public domain only) / Literature,46923,Victor Frankenstein,
1113,Euclid,ANCIENT & CLASSICAL,72484,Euclid,
1114,Ivan the Terrible,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",198773,Ivan the Terrible,
1115,Ibn Battuta,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",100574,Ibn Battuta,
1116,Nancy Pelosi,US PRESIDENTS & POLITICIANS,263745,Nancy Pelosi,
1117,Gamal Abdel Nasser,WORLD LEADERS (HISTORICAL),157990,Gamal Abdel Nasser,
1118,Niels Bohr,"SCIENTISTS, INVENTORS & THINKERS",127280,Niels Bohr,
1119,Steve Ballmer,TECH & BUSINESS,158941,Steve Ballmer,
1120,Donatello,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",40636,Donatello,
1121,Philip K. Dick,WRITERS & PHILOSOPHERS,218218,Philip K. Dick,
1122,John Carpenter,FILM DIRECTORS,255135,John Carpenter,
1123,Donald Sutherland,CLASSIC HOLLYWOOD,483064,Donald Sutherland,
1124,Angelina Jolie,MODERN ACTORS,939962,Angelina Jolie,
1125,Kristen Wiig,COMEDIANS,357489,Kristen Wiig,
1126,Guy Fieri,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",165853,Guy Fieri,
1127,Marvin Gaye,ROCK & POP LEGENDS,530180,Marvin Gaye,
1128,Jungkook,MODERN POP,340956,Jung Kook,
1129,DJ Khaled,HIP-HOP & R&B,186074,DJ Khaled,
1130,Kevin Garnett,BASKETBALL,210093,Kevin Garnett,
1131,Terrell Owens,AMERICAN FOOTBALL,91058,Terrell Owens,
1132,Gianluigi Buffon,SOCCER,341163,Gianluigi Buffon,
1133,Stone Cold Steve Austin,"BOXING, MMA, WRESTLING & STRENGTH",195003,Stone Cold Steve Austin,
1134,Björn Borg,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",213323,Björn Borg,
1135,Donald Knuth,AI & MACHINE LEARNING,46974,Donald Knuth,
1136,d'Artagnan,FICTIONAL & FOLKLORE (public domain only) / Literature,43516,Charles de Batz de Castelmore d'Artagnan,
1137,Hippocrates,ANCIENT & CLASSICAL,70532,Hippocrates,
1138,Guy Fawkes,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",190399,Guy Fawkes,
1139,Johnny Appleseed,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",92447,Johnny Appleseed,
1140,Michael Bloomberg,US PRESIDENTS & POLITICIANS,225146,Michael Bloomberg,
1141,Giuseppe Garibaldi,WORLD LEADERS (HISTORICAL),141860,Giuseppe Garibaldi,
1142,Bill Nye,"SCIENTISTS, INVENTORS & THINKERS",117264,Bill Nye,
1143,Jack Ma,TECH & BUSINESS,137091,Jack Ma,
1144,Kurt Vonnegut,WRITERS & PHILOSOPHERS,216194,Kurt Vonnegut,
1145,John Waters,FILM DIRECTORS,240771,John Waters,
1146,Christopher Reeve,CLASSIC HOLLYWOOD,480684,Christopher Reeve,
1147,Meryl Streep,MODERN ACTORS,910246,Meryl Streep,
1148,Don Rickles,COMEDIANS,357089,Don Rickles,
1149,Dr. Phil,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",164678,Phil McGraw,
1150,Michael Hutchence,ROCK & POP LEGENDS,506221,Michael Hutchence,
1151,Chappell Roan,MODERN POP,335726,Chappell Roan,
1152,Erykah Badu,HIP-HOP & R&B,182838,Erykah Badu,
1153,Muggsy Bogues,BASKETBALL,204526,Muggsy Bogues,
1154,Dan Marino,AMERICAN FOOTBALL,85099,Dan Marino,
1155,George Best,SOCCER,316141,George Best,
1156,Chyna,"BOXING, MMA, WRESTLING & STRENGTH",182780,Chyna,
1157,Boris Becker,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",194884,Boris Becker,
1158,Dwarkesh Patel,AI & MACHINE LEARNING,46236,Dwarkesh Patel,
1159,Captain Ahab,FICTIONAL & FOLKLORE (public domain only) / Literature,42899,Captain Ahab,
1160,Cao Cao,ANCIENT & CLASSICAL,61571,Cao Cao,
1161,Akbar the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",180414,Akbar,
1162,Emiliano Zapata,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",90289,Emiliano Zapata,
1163,Sarah Palin,US PRESIDENTS & POLITICIANS,220237,Sarah Palin,
1164,Hugo Chávez,WORLD LEADERS (HISTORICAL),137493,Hugo Chávez,
1165,Louis Pasteur,"SCIENTISTS, INVENTORS & THINKERS",114496,Louis Pasteur,
1166,Adam Smith,TECH & BUSINESS,132195,Adam Smith,
1167,Immanuel Kant,WRITERS & PHILOSOPHERS,213553,Immanuel Kant,
1168,Akira Kurosawa,FILM DIRECTORS,231473,Akira Kurosawa,
1169,Dustin Hoffman,CLASSIC HOLLYWOOD,480664,Dustin Hoffman,
1170,Henry Cavill,MODERN ACTORS,909418,Henry Cavill,
1171,John Belushi,COMEDIANS,346432,John Belushi,
1172,Elvira,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",164524,Cassandra Peterson,
1173,Bob Marley,ROCK & POP LEGENDS,502112,Bob Marley,
1174,Marc Anthony,MODERN POP,328987,Marc Anthony,
1175,RZA,HIP-HOP & R&B,179236,RZA,
1176,Hakeem Olajuwon,BASKETBALL,196024,Hakeem Olajuwon,
1177,Andy Reid,AMERICAN FOOTBALL,77970,Andy Reid,
1178,Arsène Wenger,SOCCER,302200,Arsène Wenger,
1179,Seth Rollins,"BOXING, MMA, WRESTLING & STRENGTH",181949,Seth Rollins,
1180,Eileen Gu,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",193204,Eileen Gu,
1181,Yoshua Bengio,AI & MACHINE LEARNING,43562,Yoshua Bengio,
1182,Ichabod Crane,FICTIONAL & FOLKLORE (public domain only) / Literature,42430,Ichabod Crane,
1183,Lu Bu,ANCIENT & CLASSICAL,59995,Lü Bu,
1184,Kublai Khan,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",178783,Kublai Khan,
1185,David Livingstone,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",87949,David Livingstone,
1186,Colin Powell,US PRESIDENTS & POLITICIANS,188824,Colin Powell,
1187,Silvio Berlusconi,WORLD LEADERS (HISTORICAL),137095,Silvio Berlusconi,tax-fraud conviction; kept as caricature
1188,George Washington Carver,"SCIENTISTS, INVENTORS & THINKERS",112391,George Washington Carver,
1189,Cornelius Vanderbilt,TECH & BUSINESS,131923,Cornelius Vanderbilt,
1190,Margaret Atwood,WRITERS & PHILOSOPHERS,212815,Margaret Atwood,
1191,Zack Snyder,FILM DIRECTORS,229677,Zack Snyder,
1192,Jeff Goldblum,CLASSIC HOLLYWOOD,476386,Jeff Goldblum,
1193,Tobey Maguire,MODERN ACTORS,888365,Tobey Maguire,
1194,Chevy Chase,COMEDIANS,345912,Chevy Chase,
1195,Regis Philbin,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",153859,Regis Philbin,
1196,Stevie Wonder,ROCK & POP LEGENDS,498947,Stevie Wonder,
1197,Jennie from Blackpink,MODERN POP,315998,Jennie (singer),
1198,J. Cole,HIP-HOP & R&B,176467,J. Cole,
1199,Joel Embiid,BASKETBALL,188860,Joel Embiid,
1200,Walter Payton,AMERICAN FOOTBALL,76736,Walter Payton,
1201,Steven Gerrard,SOCCER,296376,Steven Gerrard,
1202,Francis Ngannou,"BOXING, MMA, WRESTLING & STRENGTH",176967,Francis Ngannou,
1203,Phil Mickelson,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",188768,Phil Mickelson,
1204,Marvin Minsky,AI & MACHINE LEARNING,41767,Marvin Minsky,
1205,The Wicked Witch of the West,FICTIONAL & FOLKLORE (public domain only) / Literature,42219,Wicked Witch of the West,
1206,Guan Yu,ANCIENT & CLASSICAL,57596,Guan Yu,
1207,Mehmed the Conqueror,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",177848,Mehmed II,
1208,Toussaint Louverture,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",86748,Toussaint Louverture,
1209,Condoleezza Rice,US PRESIDENTS & POLITICIANS,177848,Condoleezza Rice,
1210,Imelda Marcos,WORLD LEADERS (HISTORICAL),108778,Imelda Marcos,
1211,Erwin Schrödinger,"SCIENTISTS, INVENTORS & THINKERS",98485,Erwin Schrödinger,
1212,Charlie Munger,TECH & BUSINESS,109155,Charlie Munger,
1213,Rudyard Kipling,WRITERS & PHILOSOPHERS,211488,Rudyard Kipling,
1214,Greta Gerwig,FILM DIRECTORS,224750,Greta Gerwig,
1215,Michael Keaton,CLASSIC HOLLYWOOD,472041,Michael Keaton,
1216,Leonardo DiCaprio,MODERN ACTORS,887689,Leonardo DiCaprio,
1217,Dan Aykroyd,COMEDIANS,345371,Dan Aykroyd,
1218,Alex Trebek,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",149450,Alex Trebek,
1219,Eric Clapton,ROCK & POP LEGENDS,498109,Eric Clapton,
1220,Selena,MODERN POP,314862,Selena,
1221,Nelly,HIP-HOP & R&B,172718,Nelly,
1222,Draymond Green,BASKETBALL,186722,Draymond Green,
1223,Barry Sanders,AMERICAN FOOTBALL,76557,Barry Sanders,
1224,Paul Gascoigne,SOCCER,256882,Paul Gascoigne,
1225,Anderson Silva,"BOXING, MMA, WRESTLING & STRENGTH",169322,Anderson Silva,
1226,Jesse Owens,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",187907,Jesse Owens,
1227,Timnit Gebru,AI & MACHINE LEARNING,31005,Timnit Gebru,
1228,The Invisible Man,FICTIONAL & FOLKLORE (public domain only) / Literature,42073,The Invisible Man,
1229,Zhuge Liang,ANCIENT & CLASSICAL,49682,Zhuge Liang,
1230,Horatio Nelson,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",176310,"Horatio Nelson, 1st Viscount Nelson",
1231,Annie Oakley,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",84508,Annie Oakley,
1232,Desmond Tutu,WORLD LEADERS (HISTORICAL),101833,Desmond Tutu,
1233,Alfred Nobel,"SCIENTISTS, INVENTORS & THINKERS",96640,Alfred Nobel,
1234,Jack Dorsey,TECH & BUSINESS,108084,Jack Dorsey,
1235,F. Scott Fitzgerald,WRITERS & PHILOSOPHERS,208159,F. Scott Fitzgerald,
1236,Kevin Smith,FILM DIRECTORS,220388,Kevin Smith,
1237,Grace Kelly,CLASSIC HOLLYWOOD,469807,Grace Kelly,
1238,Jason Momoa,MODERN ACTORS,879664,Jason Momoa,
1239,John Mulaney,COMEDIANS,337984,John Mulaney,
1240,Michael Buffer,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",132548,Michael Buffer,
1241,Avril Lavigne,ROCK & POP LEGENDS,474823,Avril Lavigne,
1242,Billy Ray Cyrus,MODERN POP,314565,Billy Ray Cyrus,
1243,Ol' Dirty Bastard,HIP-HOP & R&B,169112,Ol' Dirty Bastard,
1244,Dirk Nowitzki,BASKETBALL,170602,Dirk Nowitzki,
1245,Refrigerator Perry,AMERICAN FOOTBALL,74407,William Perry (American football),
1246,Oliver Kahn,SOCCER,246855,Oliver Kahn,
1247,Big Show,"BOXING, MMA, WRESTLING & STRENGTH",168272,Big Show,
1248,Dale Earnhardt,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",183822,Dale Earnhardt,
1249,Lee Sedol,AI & MACHINE LEARNING,18465,Lee Sedol,
1250,Dorothy Gale,FICTIONAL & FOLKLORE (public domain only) / Literature,38727,Dorothy Gale,
1251,Frederick the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",171193,Frederick the Great,
1252,Roald Amundsen,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",73967,Roald Amundsen,
1253,Kofi Annan,WORLD LEADERS (HISTORICAL),95692,Kofi Annan,
1254,Rosalind Franklin,"SCIENTISTS, INVENTORS & THINKERS",93481,Rosalind Franklin,
1255,Jimmy Wales,TECH & BUSINESS,107420,Jimmy Wales,
1256,Haruki Murakami,WRITERS & PHILOSOPHERS,198655,Haruki Murakami,
1257,Michael Bay,FILM DIRECTORS,202428,Michael Bay,
1258,Liza Minnelli,CLASSIC HOLLYWOOD,458294,Liza Minnelli,
1259,Johnny Depp,MODERN ACTORS,876591,Johnny Depp,
1260,Stephen Fry,COMEDIANS,333321,Stephen Fry,
1261,Snooki,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",130159,Snooki,
1262,Jon Bon Jovi,ROCK & POP LEGENDS,471558,Jon Bon Jovi,
1263,Enrique Iglesias,MODERN POP,309229,Enrique Iglesias,
1264,Lil Nas X,HIP-HOP & R&B,165925,Lil Nas X,
1265,Julius Erving,BASKETBALL,161025,Julius Erving,
1266,Mike Ditka,AMERICAN FOOTBALL,66964,Mike Ditka,
1267,Eric Cantona,SOCCER,213104,Eric Cantona,
1268,Eddie Hall,"BOXING, MMA, WRESTLING & STRENGTH",167144,Eddie Hall,
1269,Jack Nicklaus,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",180590,Jack Nicklaus,
1270,Baron Munchausen,FICTIONAL & FOLKLORE (public domain only) / Literature,36055,Baron Munchausen,
1271,Wu Zetian,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",170849,Wu Zetian,
1272,Zheng He,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",69441,Zheng He,
1273,Bob Hawke,WORLD LEADERS (HISTORICAL),41651,Bob Hawke,
1274,Mikhail Kalashnikov,"SCIENTISTS, INVENTORS & THINKERS",91506,Mikhail Kalashnikov,
1275,Gary Vaynerchuk,TECH & BUSINESS,77374,Gary Vaynerchuk,
1276,Arthur Conan Doyle,WRITERS & PHILOSOPHERS,195129,Arthur Conan Doyle,
1277,Oliver Stone,FILM DIRECTORS,183656,Oliver Stone,
1278,John Goodman,CLASSIC HOLLYWOOD,444522,John Goodman,
1279,Jon Hamm,MODERN ACTORS,873527,Jon Hamm,
1280,Pee-wee Herman,COMEDIANS,333043,Paul Reubens,1991/2002 misdemeanors; kept
1281,Larry King,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",125286,Larry King,
1282,Jimi Hendrix,ROCK & POP LEGENDS,468829,Jimi Hendrix,
1283,Usher,MODERN POP,301266,Usher (musician),
1284,Ice Spice,HIP-HOP & R&B,159395,Ice Spice,
1285,Manute Bol,BASKETBALL,160943,Manute Bol,
1286,Troy Polamalu,AMERICAN FOOTBALL,64982,Troy Polamalu,
1287,Megan Rapinoe,SOCCER,198228,Megan Rapinoe,
1288,Butterbean,"BOXING, MMA, WRESTLING & STRENGTH",163856,Eric Esch,
1289,John Daly,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",177138,John Daly (golfer),
1290,Huckleberry Finn,FICTIONAL & FOLKLORE (public domain only) / Literature,35712,Huckleberry Finn,
1291,Oda Nobunaga,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",170203,Oda Nobunaga,
1292,Betsy Ross,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",63853,Betsy Ross,
1293,Isambard Kingdom Brunel,"SCIENTISTS, INVENTORS & THINKERS",87599,Isambard Kingdom Brunel,
1294,Jim Cramer,TECH & BUSINESS,50893,Jim Cramer,
1295,Maya Angelou,WRITERS & PHILOSOPHERS,194037,Maya Angelou,
1296,John Hughes,FILM DIRECTORS,176928,John Hughes,
1297,Cary Grant,CLASSIC HOLLYWOOD,432937,Cary Grant,
1298,Robert Downey Jr.,MODERN ACTORS,871793,Robert Downey Jr.,
1299,Ricky Gervais,COMEDIANS,330317,Ricky Gervais,
1300,Bruce Buffer,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",111564,Bruce Buffer,
1301,Olivia Newton-John,ROCK & POP LEGENDS,466983,Olivia Newton-John,
1302,Diljit Dosanjh,MODERN POP,294229,Diljit Dosanjh,
1303,André 3000,HIP-HOP & R&B,152134,André 3000,
1304,Sue Bird,BASKETBALL,151231,Sue Bird,
1305,Vince Lombardi,AMERICAN FOOTBALL,60767,Vince Lombardi,
1306,Ruud Gullit,SOCCER,196969,Ruud Gullit,
1307,Eddie Guerrero,"BOXING, MMA, WRESTLING & STRENGTH",158999,Eddie Guerrero,
1308,Kimi Räikkönen,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",157022,Kimi Räikkönen,
1309,The Phantom of the Opera,FICTIONAL & FOLKLORE (public domain only) / Literature,34439,Erik (The Phantom of the Opera),
1310,Mata Hari,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",157873,Mata Hari,
1311,Thor Heyerdahl,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",45808,Thor Heyerdahl,
1312,Alexander Fleming,"SCIENTISTS, INVENTORS & THINKERS",85440,Alexander Fleming,
1313,Vitalik Buterin,TECH & BUSINESS,49724,Vitalik Buterin,
1314,Voltaire,WRITERS & PHILOSOPHERS,193175,Voltaire,
1315,Ang Lee,FILM DIRECTORS,157247,Ang Lee,
1316,Carol Burnett,CLASSIC HOLLYWOOD,432241,Carol Burnett,
1317,Chris Pratt,MODERN ACTORS,870694,Chris Pratt,
1318,John Cleese,COMEDIANS,330031,John Cleese,
1319,Jamie Oliver,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",108146,Jamie Oliver,
1320,Paul Simon,ROCK & POP LEGENDS,460715,Paul Simon,
1321,Doja Cat,MODERN POP,265885,Doja Cat,
1322,MC Hammer,HIP-HOP & R&B,144214,MC Hammer,
1323,Zion Williamson,BASKETBALL,138531,Zion Williamson,
1324,Alex Morgan,SOCCER,188616,Alex Morgan,
1325,Evander Holyfield,"BOXING, MMA, WRESTLING & STRENGTH",155205,Evander Holyfield,
1326,Sha'Carri Richardson,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",156115,Sha'Carri Richardson,
1327,The Tin Man,FICTIONAL & FOLKLORE (public domain only) / Literature,33273,Tin Woodman,
1328,Tokugawa Ieyasu,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",149479,Tokugawa Ieyasu,
1329,Johannes Gutenberg,"SCIENTISTS, INVENTORS & THINKERS",84564,Johannes Gutenberg,
1330,Victor Hugo,WRITERS & PHILOSOPHERS,184841,Victor Hugo,
1331,Robert Rodriguez,FILM DIRECTORS,153033,Robert Rodriguez,
1332,Kiefer Sutherland,CLASSIC HOLLYWOOD,420171,Kiefer Sutherland,
1333,Hugh Jackman,MODERN ACTORS,855544,Hugh Jackman,
1334,Bill Murray,COMEDIANS,328498,Bill Murray,
1335,Walter Cronkite,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",104373,Walter Cronkite,
1336,Alanis Morissette,ROCK & POP LEGENDS,459159,Alanis Morissette,
1337,Burna Boy,MODERN POP,256456,Burna Boy,
1338,Method Man,HIP-HOP & R&B,143065,Method Man,
1339,Dikembe Mutombo,BASKETBALL,130104,Dikembe Mutombo,
1340,Mia Hamm,SOCCER,168297,Mia Hamm,
1341,Rowdy Roddy Piper,"BOXING, MMA, WRESTLING & STRENGTH",154962,Roddy Piper,
