rank,name,section,views_3mo,wikipedia_title,flag
771,Yogi Berra,BASEBALL & HOCKEY,111273,Yogi Berra,
772,Ric Flair,"BOXING, MMA, WRESTLING & STRENGTH",271067,Ric Flair,
773,Tiger Woods,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",386296,Tiger Woods,
774,Yann LeCun,AI & MACHINE LEARNING,86834,Yann LeCun,
775,Father Time,FICTIONAL & FOLKLORE (public domain only) / Folklore & holiday,18470,Father Time,
776,Kappa the Yokai,FICTIONAL & FOLKLORE (public domain only) / Myth,69909,Kappa (folklore),
777,The Cheshire Cat,FICTIONAL & FOLKLORE (public domain only) / Literature,69622,Cheshire Cat,
778,Ramesses the Great,ANCIENT & CLASSICAL,212586,Ramesses II,
779,William Wallace,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",288445,William Wallace,
780,Calamity Jane,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",156389,Calamity Jane,
781,Ulysses S. Grant,US PRESIDENTS & POLITICIANS,547265,Ulysses S. Grant,
782,Charles de Gaulle,WORLD LEADERS (HISTORICAL),341290,Charles de Gaulle,
783,Emmeline Pankhurst,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",58447,Emmeline Pankhurst,
784,Galileo Galilei,"SCIENTISTS, INVENTORS & THINKERS",214815,Galileo Galilei,
785,Tim Cook,TECH & BUSINESS,262642,Tim Cook,
786,Georgia O'Keeffe,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",115055,Georgia O'Keeffe,
787,Salman Rushdie,WRITERS & PHILOSOPHERS,273515,Salman Rushdie,
788,Franz Liszt,"COMPOSERS, CLASSICAL & STAGE",111449,Franz Liszt,
789,Orson Welles,FILM DIRECTORS,388470,Orson Welles,
790,Sid Meier,"GAME, COMICS & ANIMATION CREATORS",41062,Sid Meier,
791,Kevin Costner,CLASSIC HOLLYWOOD,597330,Kevin Costner,
792,Ben Affleck,MODERN ACTORS,1064144,Ben Affleck,
793,Sammo Hung,ACTION & MARTIAL ARTS,59258,Sammo Hung,
794,Tina Fey,COMEDIANS,453614,Tina Fey,
795,Evel Knievel,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",233157,Evel Knievel,
796,Karl Lagerfeld,FASHION & MODELS,112925,Karl Lagerfeld,
797,George Michael,ROCK & POP LEGENDS,655234,George Michael,
798,Mariah Carey,MODERN POP,480914,Mariah Carey,
799,Dr. Dre,HIP-HOP & R&B,291082,Dr. Dre,
800,Steve Aoki,"COUNTRY, EDM & OTHER",155976,Steve Aoki,
